
2024/02/15 (18:16:09) | ===> btop++ v.1.3.2
2024/02/15 (18:16:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/15 (18:18:17) | ===> btop++ v.1.3.2
2024/02/15 (18:18:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/15 (18:45:16) | ===> btop++ v.1.3.2
2024/02/15 (18:45:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/17 (20:51:36) | ===> btop++ v.1.3.2
2024/04/17 (20:51:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/27 (16:02:56) | ===> btop++ v.1.3.2
2024/04/27 (16:02:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/27 (16:09:55) | ===> btop++ v.1.3.2
2024/04/27 (16:09:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/31 (10:00:06) | ===> btop++ v.1.3.2
2024/05/31 (10:00:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/06/19 (15:09:37) | ===> btop++ v.1.3.2
2024/06/19 (15:09:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported
